,subject.id,word,value,order,last
0,0,APRIL,18,1,False
1,0,MAY,25,2,False
2,0,MARCH,18,3,False
3,0,SEPTEMBER,16,4,False
4,0,OCTOBER,20,5,False
5,0,AUGUST,7,6,False
6,0,JUNE,14,7,True
7,1,JULY,12,1,False
8,1,JANUARY,14,2,True
9,2,JUNE,14,1,False
10,2,APRIL,18,2,False
11,2,JULY,12,3,False
12,2,AUGUST,7,4,True
13,3,DECEMBER,3,1,False
14,3,OCTOBER,20,2,True
15,4,JUNE,14,1,False
16,4,MARCH,18,2,False
17,4,APRIL,18,3,False
18,4,SEPTEMBER,16,4,True
19,5,APRIL,18,1,False
20,5,MAY,25,2,False
21,5,JANUARY,14,3,True
22,6,SEPTEMBER,16,1,False
23,6,AUGUST,7,2,False
24,6,MAY,25,3,False
25,6,OCTOBER,20,4,True
26,7,DECEMBER,3,1,False
27,7,APRIL,18,2,False
28,7,FEBRUARY,2,3,True
29,8,MARCH,18,1,False
30,8,NOVEMBER,22,2,False
31,8,AUGUST,7,3,False
32,8,FEBRUARY,2,4,False
33,8,OCTOBER,20,5,False
34,8,MAY,25,6,False
35,8,SEPTEMBER,16,7,False
36,8,JULY,12,8,False
37,8,APRIL,18,9,False
38,8,DECEMBER,3,10,False
39,8,JUNE,14,11,False
40,8,JANUARY,14,12,True
41,9,APRIL,18,1,False
42,9,AUGUST,7,2,False
43,9,SEPTEMBER,16,3,False
44,9,MARCH,18,4,False
45,9,DECEMBER,3,5,False
46,9,OCTOBER,20,6,False
47,9,FEBRUARY,2,7,True
48,10,JUNE,14,1,False
49,10,OCTOBER,20,2,False
50,10,NOVEMBER,22,3,True
51,11,DECEMBER,3,1,False
52,11,JANUARY,14,2,False
53,11,NOVEMBER,22,3,False
54,11,JUNE,14,4,True
55,12,SEPTEMBER,16,1,True
56,13,JULY,12,1,False
57,13,OCTOBER,20,2,False
58,13,APRIL,18,3,False
59,13,DECEMBER,3,4,False
60,13,JUNE,14,5,True
61,14,APRIL,18,1,False
62,14,JANUARY,14,2,False
63,14,FEBRUARY,2,3,True
64,15,NOVEMBER,22,1,False
65,15,AUGUST,7,2,False
66,15,JANUARY,14,3,True
67,16,AUGUST,7,1,False
68,16,JANUARY,14,2,False
69,16,JULY,12,3,False
70,16,MARCH,18,4,False
71,16,NOVEMBER,22,5,False
72,16,APRIL,18,6,False
73,16,OCTOBER,20,7,False
74,16,JUNE,14,8,False
75,16,MAY,25,9,False
76,16,DECEMBER,3,10,False
77,16,FEBRUARY,2,11,False
78,16,SEPTEMBER,16,12,True
79,17,NOVEMBER,22,1,False
80,17,MARCH,18,2,False
81,17,MAY,25,3,True
82,18,APRIL,18,1,False
83,18,SEPTEMBER,16,2,False
84,18,JANUARY,14,3,True
85,19,SEPTEMBER,16,1,False
86,19,OCTOBER,20,2,False
87,19,JULY,12,3,False
88,19,JUNE,14,4,False
89,19,FEBRUARY,2,5,False
90,19,MARCH,18,6,False
91,19,NOVEMBER,22,7,False
92,19,DECEMBER,3,8,True
93,20,AUGUST,7,1,False
94,20,JANUARY,14,2,False
95,20,OCTOBER,20,3,True
96,21,FEBRUARY,2,1,False
97,21,MARCH,18,2,False
98,21,SEPTEMBER,16,3,False
99,21,JULY,12,4,False
100,21,APRIL,18,5,False
101,21,DECEMBER,3,6,False
102,21,AUGUST,7,7,True
103,22,JULY,12,1,False
104,22,JUNE,14,2,False
105,22,JANUARY,14,3,False
106,22,AUGUST,7,4,False
107,22,MAY,25,5,True
108,23,SEPTEMBER,16,1,False
109,23,AUGUST,7,2,False
110,23,JUNE,14,3,False
111,23,JANUARY,14,4,False
112,23,MARCH,18,5,True
113,24,JULY,12,1,False
114,24,NOVEMBER,22,2,True
115,25,JUNE,14,1,False
116,25,APRIL,18,2,True
117,26,OCTOBER,20,1,False
118,26,MARCH,18,2,False
119,26,MAY,25,3,False
120,26,FEBRUARY,2,4,False
121,26,NOVEMBER,22,5,True
122,27,DECEMBER,3,1,False
123,27,FEBRUARY,2,2,False
124,27,AUGUST,7,3,False
125,27,JANUARY,14,4,False
126,27,OCTOBER,20,5,False
127,27,APRIL,18,6,True
128,28,OCTOBER,20,1,False
129,28,JULY,12,2,False
130,28,FEBRUARY,2,3,True
131,29,DECEMBER,3,1,False
132,29,OCTOBER,20,2,False
133,29,SEPTEMBER,16,3,False
134,29,APRIL,18,4,False
135,29,MARCH,18,5,False
136,29,JUNE,14,6,True
137,30,DECEMBER,3,1,False
138,30,MAY,25,2,False
139,30,MARCH,18,3,True
140,31,APRIL,18,1,False
141,31,MARCH,18,2,False
142,31,OCTOBER,20,3,False
143,31,MAY,25,4,True
144,32,MAY,25,1,False
145,32,OCTOBER,20,2,False
146,32,SEPTEMBER,16,3,True
147,33,DECEMBER,3,1,False
148,33,MARCH,18,2,False
149,33,NOVEMBER,22,3,True
150,34,AUGUST,7,1,False
151,34,SEPTEMBER,16,2,False
152,34,NOVEMBER,22,3,False
153,34,MARCH,18,4,False
154,34,JULY,12,5,True
155,35,DECEMBER,3,1,False
156,35,FEBRUARY,2,2,True
157,36,MARCH,18,1,False
158,36,NOVEMBER,22,2,False
159,36,DECEMBER,3,3,False
160,36,OCTOBER,20,4,False
161,36,JUNE,14,5,False
162,36,FEBRUARY,2,6,False
163,36,MAY,25,7,True
164,37,AUGUST,7,1,True
165,38,NOVEMBER,22,1,False
166,38,APRIL,18,2,False
167,38,DECEMBER,3,3,True
168,39,DECEMBER,3,1,False
169,39,APRIL,18,2,False
170,39,OCTOBER,20,3,False
171,39,JULY,12,4,False
172,39,NOVEMBER,22,5,False
173,39,SEPTEMBER,16,6,False
174,39,JUNE,14,7,True
175,40,SEPTEMBER,16,1,False
176,40,MAY,25,2,False
177,40,FEBRUARY,2,3,False
178,40,MARCH,18,4,False
179,40,NOVEMBER,22,5,False
180,40,JULY,12,6,True
181,41,NOVEMBER,22,1,False
182,41,SEPTEMBER,16,2,False
183,41,MAY,25,3,False
184,41,FEBRUARY,2,4,True
185,42,DECEMBER,3,1,False
186,42,JUNE,14,2,False
187,42,JANUARY,14,3,False
188,42,JULY,12,4,True
189,43,MARCH,18,1,False
190,43,FEBRUARY,2,2,False
191,43,OCTOBER,20,3,False
192,43,DECEMBER,3,4,False
193,43,JULY,12,5,True
194,44,JUNE,14,1,False
195,44,SEPTEMBER,16,2,False
196,44,MARCH,18,3,False
197,44,NOVEMBER,22,4,False
198,44,OCTOBER,20,5,False
199,44,FEBRUARY,2,6,True
200,45,NOVEMBER,22,1,False
201,45,AUGUST,7,2,False
202,45,JANUARY,14,3,False
203,45,SEPTEMBER,16,4,False
204,45,MARCH,18,5,True
205,46,AUGUST,7,1,False
206,46,APRIL,18,2,False
207,46,MAY,25,3,False
208,46,NOVEMBER,22,4,False
209,46,JUNE,14,5,False
210,46,MARCH,18,6,False
211,46,FEBRUARY,2,7,True
212,47,APRIL,18,1,False
213,47,MARCH,18,2,False
214,47,JANUARY,14,3,True
215,48,OCTOBER,20,1,False
216,48,APRIL,18,2,True
217,49,JULY,12,1,True
218,50,OCTOBER,20,1,False
219,50,FEBRUARY,2,2,False
220,50,MARCH,18,3,True
221,51,SEPTEMBER,16,1,False
222,51,FEBRUARY,2,2,False
223,51,JUNE,14,3,False
224,51,AUGUST,7,4,False
225,51,JANUARY,14,5,False
226,51,NOVEMBER,22,6,False
227,51,JULY,12,7,True
228,52,SEPTEMBER,16,1,False
229,52,JANUARY,14,2,False
230,52,OCTOBER,20,3,False
231,52,MAY,25,4,False
232,52,JULY,12,5,True
233,53,JANUARY,14,1,False
234,53,JULY,12,2,True
235,54,JUNE,14,1,False
